Date;reservas;CRM_messages;Competencia;Destination_ads;Display_Segmentado;Festivos;Google_Hotel;Google_PMAX;Google_Search_Brand;Google_Search_Hybrid;Google_Search_No_Brand;Meta_branding;Meta_performance;Metabuscadores;OTA_Travel_ads;Offline_propio;Prospecting;Retargeting;Seatback_cabeceros;TikTok;Youtube;ari_metric;gri_index;mpi_metric;nps_index;promocionblackfriday;promociondiscovery_dollars;promociondoublenights;promocionupto10-offseason;promocionupto10-season;promocionupto15-offseason;promocionupto15-season;promocionupto20-season;promocionupto25-season;promocionupto30-season;promocionupto35-offseason;promocionupto40-offseason;rgi_metric;group;relative_ari_metric
2022-06-20;2.0;1001377.0;29207145.566666663;1373.0;370310.0;0.0;6164.410959317285;0.0;107836.0;9572.0;6977.0;3392.0;266990.0;2758.271868640107;80823.29810737923;2798.133333333333;2024778.0;22219.0;0.0;0.0;0.0;1.0431616676388888;78.09076095985577;0.9695552399603174;41.86810933977691;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.008974915031746;1;0.0431616676388888
2022-06-27;0.0;338312.0;27565153.305376343;243.0;339289.0;0.0;4930.907584200615;0.0;104253.0;16701.0;5320.0;2731.0;131599.0;4588.709247727538;58728.58520096169;2759.4494623655914;1957805.0;23740.0;0.0;0.0;0.0;1.0422022288690476;78.10353598057692;0.9478480288412698;43.01133297355639;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.983338030515873;1;0.0422022288690475
2022-07-04;0.0;275933.0;25375830.29032258;2935.0;344152.0;0.0;7408.371003299641;0.0;112559.0;28743.0;37259.0;1111.0;177552.0;7082.9204917470015;52051.046694985016;2707.870967741935;2866570.0;25265.0;0.0;0.0;0.0;1.019920396765873;78.35045905734616;0.9859045229801588;42.49785494167431;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.005285812154762;1;0.0199203967658729
2022-07-11;0.0;187744.0;25375830.29032258;3816.0;335194.0;0.0;5666.697234193659;0.0;93400.0;20101.0;47447.0;1582.0;158096.0;4924.258632450879;54960.2695716201;2707.870967741935;2422337.0;24231.0;0.0;0.0;0.0;1.0140996869801586;78.59738213411539;0.9864794488968254;41.98437690979223;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.9894498224603174;1;0.0140996869801586
2022-07-18;0.0;445286.0;25375830.29032258;2938.0;322376.0;0.0;7305.226635988227;0.0;86974.0;13449.0;45200.0;2786.0;124528.0;4588.540646526175;76104.33029414418;2707.870967741935;2296053.0;23640.0;0.0;1069.0;0.0;1.013293455716;78.84430521088461;0.969276678844;41.47089887791015;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.982260484048;1;0.013293455716
2022-07-25;0.0;125155.0;25375830.29032258;880.0;344948.0;0.0;5531.007970882232;0.0;91696.0;13346.0;26339.0;3063.0;91687.0;5080.774801042602;82120.26272599427;2707.870967741935;2022965.0;24289.0;0.0;1764.0;0.0;1.0077241180722891;79.09122828765385;0.9734562199437752;40.957420846028064;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.9779374099638556;1;0.0077241180722891
2022-08-01;0.0;195758.0;21364184.032258064;3784.0;272682.0;0.0;7022.0187738663335;0.0;91444.0;12808.0;38944.0;0.0;239326.0;4256.339355028194;77602.31121533777;4035.612903225806;2177126.0;26034.0;0.0;2516.0;0.0;1.0081426183935742;79.33815136442308;0.9730578851485944;40.443942814145984;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.9772697739236949;1;0.0081426183935742
2022-08-08;0.0;221331.0;21364184.032258064;3561.0;213595.0;0.0;7795.81821958932;0.0;108521.0;25870.0;136557.0;0.0;255009.0;3783.498574623504;131139.96518299493;4035.612903225806;2013002.0;26899.0;0.0;1061.0;0.0;0.99071871378;79.5144308308654;0.94879673122;39.21943353740849;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.940923055456;1;-0.00928128622
2022-08-15;0.2222222222222222;385623.0;21364184.032258064;506.0;232981.0;0.0;9069.255585296958;0.0;115938.0;7845.0;29216.0;85.0;264081.0;3680.9069478337783;120632.4934339934;4035.612903225806;2016390.0;50220.0;0.0;0.0;0.0;1.0246811881532258;79.6907102973077;0.9508449413387096;37.994924260671006;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.9700284238911292;1;0.0246811881532258
2022-08-22;2.0;103077.0;21364184.032258064;422.0;207973.0;0.0;6195.296773512194;0.0;92605.0;21249.0;70182.0;443.0;271426.0;5537.962762022472;109658.85777784996;4035.612903225806;2283848.0;130625.0;0.0;0.0;0.0;1.0219466548629033;79.86698976375;0.9437722349717742;36.77041498393352;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.9594561635403226;1;0.0219466548629032
